comment,comment_target
putin only needs to leave ukraine alone to stop these deaths and destruction but it seems like his pride is more important,"russia, ukraine"
yes go home russia get out of ukraine,"russia, ukraine"
kasihan rakyat ukraina menjadi ajang ujicoba senjata rusia dan amerika negara hancur lebur rakyat jadi tikus percobaan pembuat senjata tertawa riang gembira di tempat yang nyaman,unknown
mampos lah lu lepas ni semua akan hancur ukraine kah kah kah lu ingat lu power sangat ke,ukraine
id rather not see ww3 and enjoy living a free life this english politician feller doesnt seem to realize what satan 2 and hypersonic means wake up putins never going to accept defeat in a mafia state our only hope is trump negotiates and temporarily stops this if you have a different view please love to hear it,russia
how dare the victim fight back useful idiots of kremlin,russia
these are not kamikaze the sun really is a rag,unknown
slava ukraini,unknown
meanwhile captain mayhem state farm wont be there guaranteed,unknown
puerto rico usa,unknown
this does not change the situation on the front nato is retreating the russians are advancing,russia
tiny meaningless fires lol,unknown
all of europe must get involved in the demand that russia must stop oil aggressions and stop killing people,russia
ukraine just started world war iii,ukraine
pow russia response im not humanim not hedgehogim oreshnik,russia
i swear at this point i think ukraine is trying to get russia to strike usa just to get them involved i hope putin sees thru this and peace can happen hopefully trump can make it happen,"russia, ukraine"
